# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster194     COVAR   16076      -2.2417    -0.004807       3.1539      0.76138
Cluster195     COVAR   16076      -1.1978   -0.0024047       3.1876      0.64645
Cluster196     COVAR   16076       -1.275   -0.0023051       3.7539      0.63293
Cluster197     COVAR   16076      -2.0225   -0.0036724       3.8395      0.70082
Cluster198     COVAR   16076      -2.3191    -0.004303       3.7603      0.73128
Cluster199     COVAR   16076      -1.1366   -0.0029365       2.6196      0.66781
Cluster2       COVAR   16076    -0.014866  -0.00023294      0.43477      0.51364
Cluster20      COVAR   16076      0.60561    0.0039138       1.0486      0.28179
Cluster200     COVAR   16076        1.122    0.0023224       3.3162      0.36755
Cluster201     COVAR   16076       5.7026    0.0088078       4.6188      0.10849
Cluster202     COVAR   16076        3.908    0.0064945       4.2607      0.17952
Cluster203     COVAR   16076       3.5592    0.0059148       4.2615      0.20181
Cluster204     COVAR   16076      0.78072    0.0015267        3.606       0.4143
Cluster205     COVAR   16076       4.3518     0.007455       4.2394      0.15233
Cluster206     COVAR   16076      0.11093   0.00022383       3.4798      0.48728
Cluster207     COVAR   16076        2.834    0.0050622       4.0141      0.24009
Cluster208     COVAR   16076       5.1979    0.0091066       4.0714      0.10087
Cluster209     COVAR   16076       1.2692    0.0030912       2.8646      0.32886
Cluster21      COVAR   16076    -0.081287  -0.00049124       1.1158      0.52904
Cluster210     COVAR   16076       2.6881    0.0055122       3.4387       0.2172
Cluster211     COVAR   16076       2.3033    0.0055219         2.87      0.21112
Cluster212     COVAR   16076       3.7751    0.0069691       3.8334      0.16238
Cluster213     COVAR   16076       7.9867     0.013442       4.2547     0.030261
Cluster214     COVAR   16076       4.9387    0.0079113       4.4732      0.13479
Cluster215     COVAR   16076       4.7217     0.010222       3.2436     0.072749
Cluster216     COVAR   16076       4.9512    0.0073687        4.837      0.15302
