# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster204     COVAR   16361      0.34022   0.00066114       4.4635      0.46962
Cluster205     COVAR   16361       2.2856    0.0039003       5.2127      0.33053
Cluster206     COVAR   16361       16.229      0.03268       4.2162   5.9495e-05
Cluster207     COVAR   16361       19.813     0.035263        4.876   2.4308e-05
Cluster208     COVAR   16361       16.251     0.028346       5.0287    0.0006167
Cluster209     COVAR   16361         6.98     0.016898       3.5247     0.023846
Cluster21      COVAR   16361      0.17306    0.0010632       1.3626      0.44947
Cluster210     COVAR   16361       11.565     0.023612       4.2386    0.0031846
Cluster211     COVAR   16361       6.9272     0.016586       3.5309     0.024899
Cluster212     COVAR   16361       13.602     0.025035       4.6121     0.001595
Cluster213     COVAR   16361       14.407     0.024102       5.2118    0.0028555
Cluster214     COVAR   16361       11.407     0.018188       5.4416      0.01804
Cluster215     COVAR   16361       8.4984     0.018285       4.0504     0.017955
Cluster216     COVAR   16361       20.689     0.030598       5.9452   0.00025149
Cluster217     COVAR   16361       41.453     0.049698       7.3623   9.1598e-09
Cluster218     COVAR   16361       20.425      0.03212       5.5672   0.00012231
Cluster219     COVAR   16361        25.87      0.04356       5.2233   3.7019e-07
Cluster22      COVAR   16361      0.56604    0.0031654       1.5345      0.35611
Cluster220     COVAR   16361       20.771      0.03181       5.6766   0.00012706
Cluster221     COVAR   16361       16.805     0.031012       4.4758    8.717e-05
Cluster222     COVAR   16361        18.26     0.033217       4.7285   5.6561e-05
Cluster223     COVAR   16361       15.982     0.028251       4.8202   0.00045835
Cluster224     COVAR   16361       27.082     0.038322       6.1786   5.8895e-06
Cluster225     COVAR   16361       26.341     0.041214       5.5668   1.1237e-06
Cluster226     COVAR   16361       27.066     0.037364       6.2667   7.8897e-06
Cluster227     COVAR   16361       20.399     0.029869       5.8799   0.00026174
Cluster228     COVAR   16361       33.929     0.043082       6.9744   5.7907e-07
Cluster229     COVAR   16361       32.572     0.045222       6.3724   1.6209e-07
Cluster23      COVAR   16361      0.21311    0.0011276       1.5932       0.4468
Cluster230     COVAR   16361       20.922     0.031351       5.6427   0.00010493
Cluster231     COVAR   16361       28.489     0.037961       6.6071   8.1496e-06
Cluster232     COVAR   16361       24.212     0.032931       6.5181   0.00010218
Cluster233     COVAR   16361       29.164     0.038833       6.6105   5.1641e-06
Cluster234     COVAR   16361       35.381     0.043844        7.094   3.0962e-07
Cluster235     COVAR   16361       7.9166     0.019289       3.5665     0.013227
Cluster236     COVAR   16361       10.442      0.01568       5.9581     0.039855
Cluster237     COVAR   16361       24.422     0.030816       7.1127   0.00029863
Cluster238     COVAR   16361       14.407     0.020464       6.2585     0.010676
Cluster239     COVAR   16361       23.831      0.03199       6.7023   0.00018911
Cluster24      COVAR   16361      -4.7007    -0.028934        1.389      0.99964
Cluster240     COVAR   16361       18.408     0.024415       6.7388    0.0031548
Cluster241     COVAR   16361       18.682     0.027525       6.1782      0.00125
Cluster242     COVAR   16361       26.987      0.03464       6.9431   5.1012e-05
Cluster243     COVAR   16361       20.903     0.029772       6.4037   0.00055005
Cluster244     COVAR   16361       19.103     0.028515       5.8154   0.00051148
Cluster245     COVAR   16361       15.027     0.021492       5.9532    0.0058039
Cluster246     COVAR   16361       4.1044    0.0073587       5.1789      0.21403
Cluster247     COVAR   16361       11.367     0.017671       5.6964     0.023008
Cluster248     COVAR   16361       15.976     0.023597       5.9717    0.0037379
Cluster249     COVAR   16361        21.88     0.028716       6.6757   0.00052486
Cluster25      COVAR   16361      -5.6334    -0.027593       1.7702      0.99927
Cluster250     COVAR   16361       24.508     0.041395       5.5244   4.6124e-06
Cluster251     COVAR   16361       23.788     0.037247       5.7534   1.7889e-05
Cluster252     COVAR   16361       26.447     0.039051       6.1722   9.2057e-06
Cluster253     COVAR   16361       17.944     0.027224       5.8849    0.0011496
Cluster254     COVAR   16361       11.058     0.020778       4.9848     0.013275
Cluster255     COVAR   16361       15.053     0.023441       5.6219    0.0037115
Cluster256     COVAR   16361       13.754     0.020646       5.7463    0.0083485
Cluster257     COVAR   16361       8.9938      0.01205       6.7746     0.092171
Cluster258     COVAR   16361       11.434      0.01698       6.0597     0.029594
Cluster259     COVAR   16361       17.519     0.023077       6.9102    0.0056249
