# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster245     COVAR   16076      -9.8134    -0.014183       5.2569      0.96902
Cluster246     COVAR   16076      -1.3098   -0.0023384         4.31      0.61939
Cluster247     COVAR   16076      -3.3264   -0.0051999       4.7226      0.75939
Cluster248     COVAR   16076       0.9827    0.0014593       5.1367      0.42414
Cluster249     COVAR   16076      -2.1238   -0.0028076       5.7893      0.64313
Cluster25      COVAR   16076      0.17549   0.00086195        1.488      0.45306
Cluster250     COVAR   16076      -2.6292   -0.0044745       4.6246      0.71516
Cluster251     COVAR   16076      -1.9832   -0.0031246       4.9012      0.65713
Cluster252     COVAR   16076     -0.65217  -0.00096598       5.2806      0.54914
Cluster253     COVAR   16076      -2.4232   -0.0036726       5.0361       0.6848
Cluster254     COVAR   16076      -1.1848   -0.0022497       3.9259      0.61859
Cluster255     COVAR   16076     -0.64784   -0.0010168       4.7648      0.55407
Cluster256     COVAR   16076       1.6879    0.0025585       4.9798      0.36732
Cluster257     COVAR   16076      0.95119    0.0012779       5.6935      0.43366
Cluster258     COVAR   16076       4.7037    0.0070011        5.003      0.17357
Cluster259     COVAR   16076       2.4257    0.0032028       5.8245      0.33854
Cluster26      COVAR   16076      0.39401     0.002036       1.4011      0.38927
Cluster260     COVAR   16076       2.3992    0.0033682       5.3774      0.32774
Cluster261     COVAR   16076       6.3122     0.009175       5.2396      0.11417
Cluster262     COVAR   16076       4.6913    0.0062729        5.754      0.20746
Cluster263     COVAR   16076       4.7504    0.0068219       5.2822      0.18425
Cluster264     COVAR   16076       2.0077    0.0029539       5.1481      0.34828
Cluster265     COVAR   16076     -0.14202  -0.00021947         4.89      0.51158
Cluster266     COVAR   16076      -1.5419   -0.0022451        5.157      0.61753
Cluster267     COVAR   16076      -1.2945   -0.0018732        5.244      0.59749
Cluster268     COVAR   16076      -3.5564   -0.0053295        5.174      0.75407
Cluster269     COVAR   16076      -2.1878   -0.0028992       5.7698      0.64772
Cluster27      COVAR   16076      0.40721    0.0018679       1.5767       0.3981
Cluster270     COVAR   16076       1.0672      0.00162       5.0933      0.41702
Cluster271     COVAR   16076      0.63568   0.00091656       5.3083      0.45234
Cluster272     COVAR   16076      -5.8167    -0.010568       4.2883       0.9125
Cluster273     COVAR   16076       1.3707    0.0018418       5.7127      0.40519
Cluster274     COVAR   16076       1.6831    0.0024646       5.2525      0.37432
Cluster275     COVAR   16076      -3.2169    -0.004936       5.0238      0.73901
Cluster276     COVAR   16076     -0.85272   -0.0013517       4.3827      0.57713
Cluster277     COVAR   16076      -2.5198   -0.0040305       4.5213      0.71134
Cluster278     COVAR   16076      0.35348   0.00051617       5.1443      0.47261
Cluster279     COVAR   16076     -0.12375  -0.00019785       4.6009      0.51073
Cluster28      COVAR   16076     -0.49082   -0.0029332       1.2245      0.65572
Cluster280     COVAR   16076     -0.88389   -0.0013938       4.7073      0.57447
Cluster281     COVAR   16076      -2.0777    -0.003877       3.9061       0.7026
Cluster282     COVAR   16076     -0.58854   -0.0011507       3.8399      0.56091
Cluster283     COVAR   16076        4.213    0.0057724       5.4596      0.22016
Cluster284     COVAR   16076       3.8399    0.0056094       5.1416      0.22759
Cluster285     COVAR   16076       2.3938    0.0034498       5.0889      0.31904
Cluster286     COVAR   16076       7.7197     0.011038       5.3435     0.074282
Cluster287     COVAR   16076       3.8893    0.0064266       4.4892      0.19315
Cluster288     COVAR   16076        8.185     0.011598       5.3738     0.063874
