# MEAN_SAMPLE_SIZE = 51090
# TOTAL_GENES = 16327
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster236     COVAR   16327       3.1384    0.0047166       5.3016      0.27694
Cluster237     COVAR   16327       13.847     0.017482        6.121     0.011851
Cluster238     COVAR   16327        11.51     0.016356       5.6422     0.020691
Cluster239     COVAR   16327       10.758      0.01445       5.9152     0.034496
Cluster24      COVAR   16327       -2.228    -0.013728       1.2417      0.96361
Cluster240     COVAR   16327       17.637     0.023399       5.9174     0.001441
Cluster241     COVAR   16327        11.45     0.016875       5.4951     0.018606
Cluster242     COVAR   16327       13.741     0.017631       6.2046     0.013401
Cluster243     COVAR   16327       10.349      0.01475       5.5863     0.031982
Cluster244     COVAR   16327       1.6963    0.0025334       5.1606       0.3712
Cluster245     COVAR   16327       7.4125     0.010608       5.4994     0.088859
Cluster246     COVAR   16327       2.9018    0.0052077       4.5559      0.26209
Cluster247     COVAR   16327         2.46    0.0038267        5.073      0.31387
Cluster248     COVAR   16327       5.7354    0.0084777       5.3505      0.14188
Cluster249     COVAR   16327       6.5784    0.0086388       5.9485       0.1344
Cluster25      COVAR   16327       -1.325   -0.0064951          1.6      0.79619
Cluster250     COVAR   16327       5.9996     0.010144       4.9272      0.11169
Cluster251     COVAR   16327        8.718     0.013655       5.1237     0.044437
Cluster252     COVAR   16327       8.0556      0.01187       5.3987     0.067843
Cluster253     COVAR   16327       6.8324     0.010373        5.134     0.091637
Cluster254     COVAR   16327       6.2136     0.011687       4.3714     0.077606
Cluster255     COVAR   16327        5.932    0.0092435       5.0818      0.12155
Cluster256     COVAR   16327       3.6877    0.0055268       5.3242      0.24428
Cluster257     COVAR   16327       8.7394     0.011713       5.9147     0.069774
Cluster258     COVAR   16327       5.8976    0.0087634       5.3828      0.13663
Cluster259     COVAR   16327       14.392      0.01897       6.1097     0.009252
Cluster26      COVAR   16327      -1.5312    -0.007631       1.5414      0.83972
Cluster260     COVAR   16327       13.686     0.019185        5.782    0.0089749
Cluster261     COVAR   16327       12.116     0.017551       5.5375     0.014344
Cluster262     COVAR   16327       16.428     0.021941       6.0908    0.0035005
Cluster263     COVAR   16327       14.547     0.020845       5.6645    0.0051194
Cluster264     COVAR   16327       10.709     0.015696       5.3698     0.023069
Cluster265     COVAR   16327       7.3024     0.011279       5.1072     0.076394
Cluster266     COVAR   16327       7.1098     0.010393       5.2821     0.089162
Cluster267     COVAR   16327       12.032     0.017339       5.5075     0.014467
Cluster268     COVAR   16327       8.8755     0.013157        5.427     0.050989
Cluster269     COVAR   16327        14.73      0.01945       6.0302     0.007296
Cluster27      COVAR   16327       0.0151   6.9056e-05       1.7157      0.49649
Cluster270     COVAR   16327       9.8157     0.014826       5.4031     0.034644
Cluster271     COVAR   16327       10.395     0.014932       5.5455     0.030446
Cluster272     COVAR   16327       6.2038      0.01122       4.3462     0.076742
Cluster273     COVAR   16327       20.052     0.026814       6.0725     0.000481
Cluster274     COVAR   16327       12.377      0.01807       5.5372     0.012711
