VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster422,422,Splat_422,Splatter,NEUR,GABA,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%","Human BNST: 22.3%, Human ANC: 20.1%, Human HTHpo: 19.8%","CALCR, LHX8, TMEM255A, DGKK, AL110292.1, ARHGAP36, GABRE, ONECUT3, STK26, LINC00540",2976.0,16076,2.7748,0.0035664,5.9364,0.32011
Cluster150,150,DLIT_150,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 95.3%, Hippocampus: 2.2%, Basal forebrain: 1.3%","Human M1C: 11.9%, Human MTG: 7.3%, Human A23: 4.7%","SMYD1, OLFML2B, SMIM32, POSTN, THEMIS, AL136119.1, MCTP2, GAS2L3, AL356432.3, NTNG2",12307.0,16076,1.653,0.0033878,3.5571,0.32108
Cluster457,457,Thex_457,Thalamic excitatory,NEUR,VGLUT2,"Thalamus: 98.3%, Amygdala: 1.4%, Cerebral cortex: 0.3%","Human ANC: 93.9%, Human ETH: 1.7%, Human BNST: 1.4%","LINC01036, SPTLC3, AC105213.1, SHOX2, LINC00922, NTS, TGFBI, AC082650.2, AC068989.1, LHX9",296.0,16076,1.9092,0.0034137,4.1349,0.32214
Cluster294,294,CGE_294,CGE interneuron,NEUR,GABA,"Cerebral cortex: 64.4%, Hippocampus: 14.7%, Amygdala: 10.8%","Human MEC: 5.3%, Human M1C: 5.2%, Human Cla: 4.7%","VIP, ABI3BP, PTHLH, IQGAP2, TAC3, CRH, DLX1, AC104129.1, NPR3, LAMA3",14134.0,16076,2.4026,0.0034247,5.3808,0.32762
Cluster260,260,MGE_260,MGE interneuron,NEUR,GABA,"Cerebral cortex: 86.4%, Amygdala: 4.6%, Basal forebrain: 4.2%","Human MEC: 9.0%, Human FI: 6.2%, Human ACC: 5.8%","OSTN, IQGAP2, TCIM, AC022905.1, C1QL1, ACADL, WNT16, LHX6, CRHBP, MYO5B",6212.0,16076,2.3992,0.0033682,5.3774,0.32774
Cluster191,191,CA4_191,Hippocampal CA4,NEUR,VGLUT1,"Hippocampus: 98.1%, Cerebral cortex: 1.6%, Midbrain: 0.2%","Human CA4C-DGC: 41.8%, Human CA3R: 41.8%, Human CA1C-CA3C: 8.8%","AC021594.2, LINC02237, ITGA4, OR7E14P, LATS2, COL6A3, AC068985.1, AL450311.1, KCNG2, PTGFR",486.0,16076,1.5562,0.0031669,3.5512,0.33062
Cluster78,78,Chrp_78,Choroid plexus,CHRP,,"Basal forebrain: 92.5%, Medulla: 6.3%, Thalamus: 0.6%","Human SEP: 92.5%, Human MoAN: 4.9%, Human MoSR: 1.2%","AC004052.1, TRPV4, AC016152.1, LINC00880, CLIC6, NWD1, AP003500.1, LMX1A, ABCA4, SLC39A12",2653.0,16076,0.6873,0.0030515,1.5722,0.331
Cluster434,434,Midi_434,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 89.3%, Midbrain: 8.9%, Pons: 1.3%","Human VLN: 16.5%, Human LG: 15.2%, Human LP: 14.1%","NPSR1, CASR, LINC01210, OTX2, AL161757.4, SOX14, DMBX1, AL137100.3, NPPC, AL133493.1",8469.0,16076,1.8406,0.0032079,4.257,0.33274
Cluster211,211,MSN_211,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 85.7%, Amygdala: 6.3%, Cerebral cortex: 4.2%","Human CaB: 26.7%, Human NAC: 18.8%, Human Pu: 17.8%","AL445584.2, AL450332.1, LINC02137, TH, CA12, AC138646.1, PDYN, AC107208.1, AL139379.1, MME",9093.0,16076,1.3102,0.003141,3.0353,0.333
Cluster206,206,MSN_206,Medium spiny neuron,NEUR,,"Hippocampus: 97.1%, Thalamus: 2.3%, Cerebral cortex: 0.6%","Human CA4C-DGC: 96.5%, Human Pul: 1.7%, Human LG: 0.6%","LINC02137, AC015631.1, GLI3, PLEK, AP003121.1, LINC02462, RGS9, MME, PTPN7, AL445584.2",172.0,16076,1.557,0.0031417,3.6627,0.33538
