# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster267     COVAR     63   16333       30.056     0.043283        6.748   4.2481e-06
Cluster108     COVAR     64   16333       29.665     0.038005       7.5073   3.9032e-05
Cluster268     COVAR     64   16333       28.644     0.042449       6.5146   5.5329e-06
Cluster108     COVAR     65   16333       27.607     0.035368       7.5295   0.00012345
Cluster269     COVAR     65   16333       40.205     0.053078       7.3192   2.0123e-08
Cluster108     COVAR     66   16333       27.841     0.035669         7.51    0.0001052
Cluster270     COVAR     66   16333       37.984     0.057359       6.4353   1.8341e-09
Cluster108     COVAR     67   16333       26.747     0.034267       7.5662   0.00020449
Cluster271     COVAR     67   16333       35.966     0.051651       6.8147   6.6442e-08
Cluster108     COVAR     68   16333       30.862     0.039539       7.4728   1.8254e-05
Cluster272     COVAR     68   16333       24.795     0.044832       5.4559   2.7759e-06
Cluster108     COVAR     69   16333       26.488     0.033935       7.5263   0.00021699
Cluster273     COVAR     69   16333       47.146     0.063031       7.3206   6.1778e-11
Cluster108     COVAR     70   16333       27.721     0.035515       7.5521   0.00012143
Cluster274     COVAR     70   16333        32.64     0.047648       6.6934   5.4639e-07
Cluster108     COVAR     71   16333       28.301     0.036258        7.512    8.282e-05
Cluster275     COVAR     71   16333       35.314     0.053056       6.4799    2.566e-08
Cluster108     COVAR     72   16333       29.225     0.037442       7.5407    5.342e-05
Cluster277     COVAR     72   16333       23.675     0.037331       5.9566   3.5445e-05
Cluster108     COVAR     73   16333       27.658     0.035433       7.4868   0.00011076
Cluster278     COVAR     73   16333       45.528     0.066136        6.472   1.0484e-12
Cluster108     COVAR     74   16333       31.293     0.040091       7.4825   1.4527e-05
Cluster279     COVAR     74   16333       21.605     0.033684       6.0497   0.00017827
Cluster108     COVAR     75   16333       27.578     0.035332       7.4853   0.00011514
Cluster280     COVAR     75   16333       48.468     0.067679       6.7503   3.6719e-13
Cluster108     COVAR     76   16333       32.256     0.041325       7.4566   7.6535e-06
Cluster281     COVAR     76   16333       19.908     0.036874       5.2687    7.923e-05
Cluster108     COVAR     77   16333       31.632     0.040525       7.4579   1.1184e-05
Cluster282     COVAR     77   16333       22.272     0.043205        4.835   2.0682e-06
Cluster108     COVAR     78   16333       27.612     0.035375       7.5093   0.00011842
Cluster283     COVAR     78   16333       42.851     0.058495       7.0023   4.8228e-10
Cluster108     COVAR     79   16333       28.862     0.036976       7.5077   6.0733e-05
Cluster284     COVAR     79   16333       32.866      0.04784       6.4359   1.6621e-07
Cluster108     COVAR     80   16333       31.358     0.040174       7.4825   1.3983e-05
Cluster285     COVAR     80   16333       23.161     0.033386       6.6263   0.00023758
