# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster224     COVAR   16076        9.633     0.013699       5.2091     0.032221
Cluster225     COVAR   16076       1.8935    0.0029758       4.6814      0.34294
Cluster226     COVAR   16076       7.0295    0.0097452        5.384     0.095851
Cluster227     COVAR   16076       8.8285     0.013001       5.0192     0.039307
Cluster228     COVAR   16076   -0.0025893  -3.3071e-06       5.8791      0.50018
Cluster229     COVAR   16076       3.6622    0.0050567       5.2965      0.24465
Cluster23      COVAR   16076      -1.2445   -0.0065179       1.3822      0.81603
Cluster230     COVAR   16076       5.5062    0.0073423       5.6308      0.16408
Cluster231     COVAR   16076       1.9884    0.0026643       5.5725      0.36062
Cluster232     COVAR   16076       2.6178    0.0035809         5.46      0.31581
Cluster233     COVAR   16076     -0.69848  -0.00093765       5.7484      0.54836
Cluster234     COVAR   16076      -1.5304   -0.0019081       6.0536      0.59979
Cluster235     COVAR   16076      -1.4258   -0.0035136       2.8072      0.69424
Cluster236     COVAR   16076     -0.41574  -0.00062416       5.0278      0.53295
Cluster237     COVAR   16076       6.6747    0.0084615       5.9835      0.13233
Cluster238     COVAR   16076      -1.4009   -0.0019964       5.2465      0.60527
Cluster239     COVAR   16076        4.544    0.0060737       5.6193      0.20937
Cluster24      COVAR   16076     -0.84782   -0.0052354       1.1735      0.76499
Cluster240     COVAR   16076        5.657    0.0075291       5.6113       0.1567
Cluster241     COVAR   16076       6.6989    0.0099368       5.0694     0.093186
Cluster242     COVAR   16076       9.1601     0.011807       5.8595     0.059003
Cluster243     COVAR   16076       11.311     0.016158       5.3382      0.01706
Cluster244     COVAR   16076       1.4501    0.0021705       4.9148      0.38398
Cluster245     COVAR   16076       5.5798    0.0080644       5.2132      0.14225
Cluster246     COVAR   16076      -5.1088   -0.0091211       4.2984      0.88268
Cluster247     COVAR   16076      -1.9998   -0.0031261       4.6833      0.66531
Cluster248     COVAR   16076       1.4744    0.0021894       5.0937      0.38612
Cluster249     COVAR   16076       9.1785     0.012134       5.7461     0.055106
Cluster25      COVAR   16076      -1.8587   -0.0091293       1.4761        0.896
Cluster250     COVAR   16076       5.6421    0.0096018       4.5789      0.10895
Cluster251     COVAR   16076      0.91069    0.0014348       4.8588      0.42566
Cluster252     COVAR   16076       3.3282    0.0049297       5.2032      0.26121
Cluster253     COVAR   16076       5.2653    0.0079801       4.9608      0.14426
Cluster254     COVAR   16076       4.7823    0.0090805       3.8458      0.10685
Cluster255     COVAR   16076       -2.695   -0.0042299       4.7141      0.71623
Cluster256     COVAR   16076      -5.4737   -0.0082968       4.9283      0.86663
Cluster257     COVAR   16076      -2.6577   -0.0035706        5.647      0.68105
Cluster258     COVAR   16076      -3.3321   -0.0049596        4.954       0.7494
Cluster259     COVAR   16076       -4.425   -0.0058426       5.7956      0.77741
Cluster26      COVAR   16076     -0.63656   -0.0032892       1.3938      0.67606
Cluster260     COVAR   16076      -1.5373   -0.0021582       5.3383      0.61332
Cluster261     COVAR   16076      -4.3537   -0.0063283       5.1841      0.79949
Cluster262     COVAR   16076      -1.4239   -0.0019039       5.6995      0.59864
Cluster263     COVAR   16076      0.60549   0.00086951       5.2442      0.45404
Cluster264     COVAR   16076       1.4905     0.002193       5.1105      0.38528
Cluster265     COVAR   16076       2.3116    0.0035722       4.8191      0.31573
Cluster266     COVAR   16076       7.1015      0.01034       5.1256     0.082962
Cluster267     COVAR   16076        3.386    0.0048995       5.1327      0.25473
Cluster268     COVAR   16076       4.7847    0.0071701       5.1322       0.1756
Cluster269     COVAR   16076       2.8406    0.0037643       5.7083      0.30938
Cluster27      COVAR   16076     -0.95262   -0.0043696       1.5749      0.72736
Cluster270     COVAR   16076      0.26995   0.00040981        5.018      0.47855
Cluster271     COVAR   16076      0.87897    0.0012674       5.2469      0.43348
Cluster272     COVAR   16076        1.565    0.0028432       4.2545       0.3565
Cluster273     COVAR   16076       2.9541    0.0039695        5.649      0.30051
Cluster274     COVAR   16076       5.9022    0.0086427       5.1812      0.12733
Cluster275     COVAR   16076     -0.48765  -0.00074825       4.9817      0.53899
Cluster276     COVAR   16076       5.0081    0.0079385       4.3407      0.12431
Cluster277     COVAR   16076      0.93804    0.0015004       4.4817      0.41711
Cluster278     COVAR   16076       2.1113     0.003083       5.0605      0.33827
Cluster279     COVAR   16076       1.6948    0.0027096        4.592      0.35604
Cluster28      COVAR   16076       -1.271   -0.0075953       1.2182      0.85159
Cluster280     COVAR   16076       6.5606     0.010346       4.6671     0.079917
Cluster281     COVAR   16076       5.5553     0.010366       3.8617     0.075147
Cluster282     COVAR   16076       3.6202    0.0070783       3.8044      0.17066
Cluster283     COVAR   16076      0.24186   0.00033138       5.4329      0.48225
Cluster284     COVAR   16076       5.3982    0.0078859       5.1036       0.1451
Cluster285     COVAR   16076       1.3275    0.0019131       5.0608      0.39654
Cluster286     COVAR   16076         3.66    0.0052331       5.3044       0.2451
