# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster201     COVAR   16365       7.6679     0.011781        4.815      0.05565
Cluster202     COVAR   16365       11.809       0.0196       4.3643    0.0034116
Cluster203     COVAR   16365       1.6499     0.002732       4.4432       0.3552
Cluster204     COVAR   16365      0.54043    0.0010506       3.6584      0.44128
Cluster205     COVAR   16365       5.5612    0.0095137       4.2379     0.094729
Cluster206     COVAR   16365      0.66989     0.001349       3.5606      0.42539
Cluster207     COVAR   16365       1.7991    0.0032049       4.1306      0.33158
Cluster208     COVAR   16365      -3.5612   -0.0062119       4.2157      0.80087
Cluster209     COVAR   16365      -2.9822   -0.0072227       2.9275      0.84581
Cluster21      COVAR   16365     -0.40287   -0.0024666       1.1337      0.63884
Cluster210     COVAR   16365      -1.4757    -0.003014       3.4785       0.6643
Cluster211     COVAR   16365      -3.5644   -0.0085359       2.9696      0.88498
Cluster212     COVAR   16365      -2.5889   -0.0047651       3.8959      0.74682
Cluster213     COVAR   16365      -6.0326    -0.010094       4.3375      0.91785
Cluster214     COVAR   16365      -2.4577   -0.0039322       4.5887      0.70388
Cluster215     COVAR   16365      -3.3967   -0.0073176       3.3965      0.84135
Cluster216     COVAR   16365     0.037039   5.4827e-05        4.968      0.49703
Cluster217     COVAR   16365       13.305     0.015959       6.1407     0.015137
Cluster218     COVAR   16365       4.6278    0.0073233       4.5665      0.15544
Cluster219     COVAR   16365       0.7805    0.0013275       4.2164      0.42657
Cluster22      COVAR   16365       0.8397    0.0046807       1.2713      0.25446
Cluster220     COVAR   16365       6.2636    0.0096048       4.8201       0.0969
Cluster221     COVAR   16365       6.6771     0.012327       3.8401      0.04105
Cluster222     COVAR   16365       4.4448    0.0080856       3.9547      0.13053
Cluster223     COVAR   16365       3.4813    0.0061772       3.9883      0.19138
Cluster224     COVAR   16365       2.8162    0.0039928       5.1523      0.29234
Cluster225     COVAR   16365       8.4907     0.013287       4.7745     0.037686
