# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR     63   16361       22.111     0.029271       6.9124   0.00069168
Cluster231     COVAR     63   16361       23.627     0.031482       6.7776   0.00024589
Cluster123     COVAR     64   16361       22.763     0.030134       6.9472   0.00052667
Cluster232     COVAR     64   16361       18.842     0.025627       6.7187    0.0025245
Cluster123     COVAR     65   16361       21.746     0.028788       6.9289   0.00085089
Cluster233     COVAR     65   16361       24.168     0.032181       6.7974   0.00018925
Cluster123     COVAR     66   16361       20.856     0.027609        6.923    0.0012978
Cluster234     COVAR     66   16361       30.298     0.037545       7.2899   1.6278e-05
Cluster123     COVAR     67   16361       23.703     0.031379       6.8392   0.00026508
Cluster242     COVAR     67   16361       22.776     0.029235       7.0459   0.00061487
Cluster123     COVAR     68   16361       24.072     0.031867       6.7918   0.00019748
Cluster250     COVAR     68   16361       21.972     0.037112       5.5683   3.9944e-05
Cluster123     COVAR     69   16361       23.954     0.031711       6.8093   0.00021822
Cluster251     COVAR     69   16361       20.798     0.032565       5.8135   0.00017404
Cluster123     COVAR     70   16361       24.019     0.031797       6.7996   0.00020661
Cluster252     COVAR     70   16361       23.441     0.034612        6.228   8.4043e-05
Cluster123     COVAR     71   16361        24.39     0.032288       6.7974   0.00016714
Cluster269     COVAR     71   16361       23.897      0.03154       6.9502   0.00029345
Cluster123     COVAR     72   16361       24.186     0.032019       6.8145   0.00019381
Cluster271     COVAR     72   16361       20.855     0.029938       6.4331   0.00059526
Cluster123     COVAR     73   16361       24.482      0.03241       6.7834   0.00015419
Cluster272     COVAR     73   16361       19.668     0.035542       5.2038   7.8854e-05
Cluster123     COVAR     74   16361       23.444     0.031037       6.8123   0.00029014
Cluster273     COVAR     74   16361       27.606     0.036894       6.9237   3.3609e-05
Cluster123     COVAR     75   16361       24.483     0.032411        6.785   0.00015457
Cluster275     COVAR     75   16361       22.751     0.034169       6.1117   9.9018e-05
Cluster123     COVAR     76   16361       23.219     0.030738        6.822   0.00033357
Cluster283     COVAR     76   16361       26.818     0.036595       6.7605   3.6607e-05
Cluster123     COVAR     77   16361       24.471     0.032396       6.8021   0.00016112
Cluster284     COVAR     77   16361       20.463     0.029769        6.325   0.00060902
Cluster123     COVAR     78   16361       23.612     0.031258       6.8244     0.000271
Cluster286     COVAR     78   16361       23.283      0.03319        6.525   0.00018033
Cluster123     COVAR     79   16361       25.737     0.034071       6.7533   6.9513e-05
Cluster364     COVAR     79   16361       19.445     0.032441       5.2844   0.00011722
Cluster123     COVAR     80   16361       27.488     0.036389       6.7344   2.2474e-05
Cluster377     COVAR     80   16361       23.958     0.039138       5.3386   3.6273e-06
