VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster148,148,DLIT_148,Deep-layer intratelencephalic,NEUR,VGLUT1,"Cerebral cortex: 85.2%, Basal forebrain: 6.0%, Amygdala: 5.0%","Human MTG: 7.7%, Human ACC: 7.4%, Human FI: 6.6%","LINC00343, AC011754.1, THEMIS, TMEM233, AL356432.3, AC092131.1, AC079163.2, AC004917.1, AC015943.1, SH2D1B",16196,16327,10.425,0.014096,5.8955,0.038517
Cluster422,422,Splat_422,Splatter,NEUR,GABA,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%","Human BNST: 22.3%, Human ANC: 20.1%, Human HTHpo: 19.8%","CALCR, LHX8, TMEM255A, DGKK, AL110292.1, ARHGAP36, GABRE, ONECUT3, STK26, LINC00540",2976,16327,10.915,0.013976,6.187,0.038857
Cluster89,89,DLNP_89,Deep-layer near-projecting,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.1%, Basal forebrain: 1.6%, Amygdala: 0.1%","Human M1C: 40.1%, Human FI: 8.0%, Human S1C: 7.7%","AC244502.1, NPSR1-AS1, IFNG-AS1, LINC02218, CD200R1L, CCDC80, LINC02042, CD36, AL161782.1, AC074139.1",1405,16327,8.1766,0.013815,4.656,0.039545
Cluster367,367,Splat_367,Splatter,NEUR,VGLUT2,"Midbrain: 96.9%, Thalamus: 2.6%, Pons: 0.3%","Human SC: 38.5%, Human IC: 29.3%, Human PAG: 15.2%","LHX9, TFAP2D, TAC1, SAMD11, POU4F1, FAM9B, BARHL1, AC092114.1, SLC17A6, LINC01568",4065,16327,10.977,0.013651,6.3153,0.041095
Cluster203,203,DG_203,Hippocampal dentate gyrus,NEUR,VGLUT1,"Hippocampus: 98.3%, Midbrain: 1.4%, Cerebral cortex: 0.2%","Human DGU-CA4Upy: 42.8%, Human DGR-CA4: 13.9%, Human DGR-CA4Rpy: 13.6%","AC097528.1, LINC02248, AC097487.1, AC092110.1, AC079772.1, AC009878.2, COL6A3, AL445985.1, GRP, AL161629.1",8378,16327,8.2604,0.013644,4.7674,0.041588
Cluster300,300,CBI_300,Cerebellar inhibitory,NEUR,GABA,"Cerebellum: 61.4%, Pons: 32.9%, Midbrain: 3.2%","Human CbDN: 58.9%, Human PnEN: 12.4%, Human PnRF: 8.1%","PAX2, SLC4A11, TFAP2B, NDNF, TFAP2A, IL15, SRD5A2, BHLHE22, ANGPT1, SLC22A3",1194,16327,5.9098,0.013631,3.429,0.042414
Cluster389,389,Splat_389,Splatter,NEUR,GABA,"Pons: 67.3%, Midbrain: 29.6%, Thalamus: 2.4%","Human PnEN: 56.0%, Human PAG: 12.6%, Human DTg: 9.7%","NMB, GATA3, AL121974.1, IRX2, CALCR, GATA2, TACR3, TRPM8, VWA5B1, LMO1",759,16327,9.1813,0.013683,5.3311,0.042526
Cluster251,251,MGE_251,MGE interneuron,NEUR,GABA,"Cerebral cortex: 94.0%, Hippocampus: 2.5%, Basal forebrain: 2.4%","Human MTG: 6.6%, Human A29-A30: 5.6%, Human M1C: 4.6%","EDNRA, NMU, MAFB, CYP26A1, PNOC, PDCL2, KCNJ5, SST, TRBC2, ADGRG6",16688,16327,8.718,0.013655,5.1237,0.044437
Cluster380,380,Splat_380,Splatter,NEUR,GLY,"Pons: 62.5%, Medulla: 34.7%, Spinal cord: 1.1%","Human PnEN: 23.4%, Human MoRF-MoEN: 17.0%, Human PB: 15.8%","SLC6A5, PAX2, EBF3, OTP, TFAP2A, HOXB3, LINC01297, LBX1-AS1, LHX5-AS1, EBF2",4748,16327,7.9515,0.013509,4.6753,0.044507
Cluster392,392,Splat_392,Splatter,NEUR,GABA,"Amygdala: 39.6%, Basal forebrain: 32.7%, Hypothalamus: 21.2%","Human BNST: 24.0%, Human SI: 17.5%, Human HTHpo: 11.4%","LHX8, GBX1, FGF10-AS1, FGF10, STAC, LHX6, DIAPH3, ELFN1, LINC00886, ASAH2",2659,16327,8.8103,0.012991,5.1993,0.045097
Cluster178,178,Misc_178,Miscellaneous,NEUR,VGLUT1 VGLUT2,"Hippocampus: 43.8%, Midbrain: 29.4%, Cerebral cortex: 26.8%","Human Sub: 37.9%, Human SC: 29.4%, Human TH-TL: 21.6%","AC008662.1, AC091096.1, AP003066.1, AL391117.1, COBLL1, AC099517.1, AC097528.1, LINC02143, AC008415.1, AC004052.1",691,16327,8.0885,0.012998,4.8056,0.046184
Cluster43,43,COP_43,Committed oligodendrocyte precursor,OLIGO,,"Thalamus: 36.2%, Hypothalamus: 18.0%, Amygdala: 10.3%","Human VLN: 24.5%, Human HTHso: 11.5%, Human La: 6.0%","SLC5A11, FA2H, AL033523.1, CD22, AC012494.1, MOBP, MYRF, SH3TC2-DT, PRR5L, CNDP1",417,16327,4.2894,0.012875,2.5489,0.046216
Cluster416,416,Splat_416,Splatter,NEUR,GABA,"Hypothalamus: 65.4%, Thalamus: 17.9%, Amygdala: 8.1%","Human HTHso-HTHtub: 19.1%, Human ANC: 17.7%, Human HTHpo: 16.0%","GAL, HMX3, ECEL1, ISL1, ARHGAP36, DLK1, HMX2, DIRAS3, AC010478.1, C14orf39",3344,16327,7.5819,0.013713,4.5142,0.046532
Cluster439,439,Midi_439,Midbrain-derived inhibitory,NEUR,GABA,"Midbrain: 52.8%, Thalamus: 31.3%, Pons: 10.7%","Human SC: 11.2%, Human PAG: 10.3%, Human PTR: 9.4%","DMBX1, OTX2-AS1, OTX2, LINC01210, GATA3, AC008163.1, AL161757.4, LINC02055, SOX14, PRSS12",21004,16327,7.5814,0.013754,4.5155,0.046589
Cluster231,231,EMSN_231,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 60.2%, Basal forebrain: 16.4%, Cerebral cortex: 13.7%","Human CMN: 15.9%, Human CEN: 12.8%, Human SI: 11.6%","LMNTD1, NPFFR2, AC012078.2, ZNF736P9Y, GABRQ, EYA2, PCDH11Y, CAPSL, DRAXIN, ITGA6",2372,16327,9.8135,0.013075,5.8509,0.046757
Cluster388,388,Splat_388,Splatter,NEUR,VGLUT2,"Pons: 90.9%, Hypothalamus: 4.1%, Amygdala: 3.6%","Human PnEN: 81.7%, Human PnAN: 4.6%, Human DTg: 4.1%","LINC01798, SCTR, LHX5-AS1, VSX2, APELA, VWA5B1, HPGD, LINC01828, LINC01799, ADCYAP1",197,16327,6.3157,0.012292,3.781,0.047432
Cluster85,85,DLNP_85,Deep-layer near-projecting,NEUR,VGLUT1 VGLUT2 VGLUT3,"Cerebral cortex: 47.1%, Basal forebrain: 37.0%, Hypothalamus: 10.9%","Human ACC: 32.3%, Human SEP: 25.9%, Human SI: 9.7%","AC005909.2, FER1L6-AS2, PRELP, AC093912.1, NPSR1-AS1, VWA2, LPIN3, ABCC9, CDCP1, MROH2A",514,16327,7.6333,0.012734,4.5874,0.048069
Cluster440,440,Midi_440,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 87.1%, Midbrain: 10.2%, Pons: 1.9%","Human ETH: 15.2%, Human Pul: 11.7%, Human MD: 10.5%","AC008163.1, OTX2-AS1, DMBX1, AL161757.4, OTX2, AL137100.3, LINC01210, CASR, GATA3, SOX14",7366,16327,8.6589,0.013418,5.2054,0.048125
Cluster159,159,Amex_159,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 80.8%, Cerebral cortex: 17.6%, Hippocampus: 1.3%","Human CMN: 32.2%, Human BM: 26.7%, Human CEN: 17.3%","POSTN, AC018742.1, LINC02653, AL583785.1, DCSTAMP, PWWP3B, NPFFR2, AL139340.1, KCNG1, AC068633.1",2148,16327,8.4452,0.012776,5.1075,0.049128
