# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster213     COVAR   16076       4.5671    0.0076865       4.5671      0.15867
Cluster214     COVAR   16076       2.9469    0.0047206       4.8082      0.26998
Cluster215     COVAR   16076       1.1458    0.0024804        3.485      0.37116
Cluster216     COVAR   16076        2.123    0.0031596       5.1971      0.34146
Cluster217     COVAR   16076      -1.2786   -0.0015388       6.5001      0.57797
Cluster218     COVAR   16076      -1.0031   -0.0015716        4.804      0.58269
Cluster219     COVAR   16076       2.1469    0.0028823       5.7029      0.35329
Cluster22      COVAR   16076     -0.34628   -0.0019048         1.33      0.60271
Cluster220     COVAR   16076      -3.9299   -0.0060301        5.021      0.78309
Cluster221     COVAR   16076       -1.324   -0.0024522       4.1777      0.62434
Cluster222     COVAR   16076      0.92179    0.0016822       4.1792      0.41272
Cluster223     COVAR   16076       1.5001    0.0026786       4.1054      0.35741
Cluster224     COVAR   16076       3.0545    0.0043439       5.3486      0.28397
Cluster225     COVAR   16076       2.4188    0.0038014       4.8206      0.30792
Cluster226     COVAR   16076       7.5758     0.010503       5.5287     0.085311
Cluster227     COVAR   16076       5.2159    0.0076808       5.1626      0.15618
Cluster228     COVAR   16076       2.9836    0.0038106       6.0413      0.31071
Cluster229     COVAR   16076      0.22152   0.00030587       5.4386      0.48376
Cluster23      COVAR   16076    -0.083083  -0.00043513       1.4181      0.52336
Cluster230     COVAR   16076        7.043    0.0093916       5.8151      0.11293
Cluster231     COVAR   16076      0.52421   0.00070241         5.72      0.46349
Cluster232     COVAR   16076        6.139    0.0083976       5.6154      0.13715
Cluster233     COVAR   16076       5.3593    0.0071943       5.9065      0.18212
Cluster234     COVAR   16076       14.291     0.017817        6.207     0.010665
Cluster235     COVAR   16076      0.80369    0.0019805       2.8835      0.39023
Cluster236     COVAR   16076      -1.3169   -0.0019771        5.147      0.60097
Cluster237     COVAR   16076      -1.7344   -0.0021986        6.111      0.61172
Cluster238     COVAR   16076      -1.3305   -0.0018961       5.3952      0.59739
Cluster239     COVAR   16076      -1.2514   -0.0016727        5.775      0.58578
Cluster24      COVAR   16076      0.34331      0.00212       1.2002      0.38742
Cluster240     COVAR   16076      0.97976     0.001304       5.7424      0.43226
Cluster241     COVAR   16076       1.6445    0.0024394       5.2375      0.37677
Cluster242     COVAR   16076       2.9653    0.0038222       6.0248       0.3113
Cluster243     COVAR   16076      -2.5027   -0.0035751       5.4864      0.67586
Cluster244     COVAR   16076       1.0352    0.0015494       5.0481      0.41876
Cluster245     COVAR   16076      -5.3389   -0.0077162       5.3683      0.84001
Cluster246     COVAR   16076      -1.5024   -0.0026824       4.4215        0.633
Cluster247     COVAR   16076      -2.4459   -0.0038235       4.8229      0.69397
Cluster248     COVAR   16076      0.27502   0.00040839       5.2455      0.47909
Cluster249     COVAR   16076       3.5378    0.0046768       5.9008      0.27441
Cluster25      COVAR   16076      0.63597    0.0031237       1.5142      0.33725
Cluster250     COVAR   16076      0.18948   0.00032246       4.7114      0.48396
Cluster251     COVAR   16076      -2.7579   -0.0043451       4.9919      0.70968
Cluster252     COVAR   16076       1.0569    0.0015654       5.3692      0.42198
Cluster253     COVAR   16076     -0.32975  -0.00049976       5.1323      0.52561
Cluster254     COVAR   16076      -3.5076   -0.0066602       3.9813      0.81084
Cluster255     COVAR   16076      -2.0438   -0.0032079       4.8535      0.66316
Cluster256     COVAR   16076      -4.0947   -0.0062066       5.0652      0.79056
Cluster257     COVAR   16076      -3.8023   -0.0051085       5.8009      0.74391
Cluster258     COVAR   16076     -0.93428   -0.0013906       5.0903      0.57281
Cluster259     COVAR   16076      -1.3493   -0.0017815        5.934      0.58993
Cluster26      COVAR   16076       1.0594    0.0054743       1.4316      0.22965
Cluster260     COVAR   16076      -2.5179   -0.0035348       5.4896      0.67676
Cluster261     COVAR   16076      -3.5161   -0.0051108       5.3365      0.74501
Cluster262     COVAR   16076      -2.7354   -0.0036576       5.8644      0.67955
