# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster250     COVAR   16076      -4.6783   -0.0079616       4.7879      0.83573
Cluster251     COVAR   16076      -5.7303   -0.0090282       5.0825      0.87021
Cluster252     COVAR   16076      -5.4278   -0.0080396       5.4435      0.84064
Cluster253     COVAR   16076      0.13125   0.00019892       5.1852       0.4899
Cluster254     COVAR   16076      -2.8001   -0.0053167       4.0214      0.75687
Cluster255     COVAR   16076      -1.4009   -0.0021987       4.9294      0.61186
Cluster256     COVAR   16076      -1.4172   -0.0021481        5.153      0.60835
Cluster257     COVAR   16076      -3.3051   -0.0044404       5.9027      0.71223
Cluster258     COVAR   16076      -8.1083    -0.012069       5.1799      0.94124
Cluster259     COVAR   16076      -3.7067   -0.0048942       6.0607      0.72959
Cluster26      COVAR   16076       3.0769     0.015899       1.4577     0.017407
Cluster260     COVAR   16076      -3.1606   -0.0044371       5.5827      0.71435
Cluster261     COVAR   16076      -5.5925    -0.008129       5.4191      0.84895
Cluster262     COVAR   16076      0.60515   0.00080916       5.9588      0.45956
Cluster263     COVAR   16076      0.73615    0.0010572       5.4826       0.4466
Cluster264     COVAR   16076       5.8811    0.0086529       5.3442      0.13558
Cluster265     COVAR   16076       5.6222     0.008688        5.039      0.13228
Cluster266     COVAR   16076       9.9011     0.014416       5.3584      0.03233
Cluster267     COVAR   16076       1.7387    0.0025159       5.3641      0.37292
Cluster268     COVAR   16076    -0.041356  -6.1975e-05        5.367      0.50307
Cluster269     COVAR   16076      0.60253   0.00079845       5.9686       0.4598
Cluster27      COVAR   16076       3.1755     0.014566       1.6469     0.026925
Cluster270     COVAR   16076      -4.8522   -0.0073659       5.2479       0.8224
Cluster271     COVAR   16076      -1.0777   -0.0015538       5.4868      0.57785
Cluster272     COVAR   16076      -2.5432   -0.0046206       4.4487      0.71623
Cluster273     COVAR   16076        1.071    0.0014391       5.9063      0.42805
Cluster274     COVAR   16076      -3.7289   -0.0054603       5.4183      0.75433
Cluster275     COVAR   16076      -2.9455   -0.0045195       5.2088      0.71412
Cluster276     COVAR   16076      0.74965    0.0011883       4.5381       0.4344
Cluster277     COVAR   16076       1.1292    0.0018062       4.6874      0.40482
Cluster278     COVAR   16076      0.69265    0.0010114       5.2926      0.44794
Cluster279     COVAR   16076     -0.62095  -0.00099276       4.8003      0.55146
Cluster28      COVAR   16076       1.7155     0.010252       1.2741     0.089086
Cluster280     COVAR   16076      -2.0442   -0.0032236       4.8824      0.66227
Cluster281     COVAR   16076       1.2346    0.0023038       4.0387      0.37992
Cluster282     COVAR   16076       1.7307     0.003384       3.9713      0.33149
Cluster283     COVAR   16076       3.8126    0.0052238       5.6823      0.25113
Cluster284     COVAR   16076       3.9029    0.0057014       5.3368       0.2323
Cluster285     COVAR   16076       2.4464    0.0035255       5.2932      0.32198
Cluster286     COVAR   16076      0.34357   0.00049124       5.5469      0.47531
Cluster287     COVAR   16076      -7.4264    -0.012271        4.652      0.94479
Cluster288     COVAR   16076      -5.2164   -0.0073917       5.5705      0.82547
Cluster289     COVAR   16076      -7.6401    -0.013301       4.4596      0.95665
Cluster29      COVAR   16076       1.3469    0.0099912      0.98156     0.085008
Cluster290     COVAR   16076       -9.675    -0.015081       5.0132      0.97318
Cluster291     COVAR   16076      -5.1756   -0.0075204       5.3086       0.8352
Cluster292     COVAR   16076      -3.0396   -0.0046197       5.1357      0.72302
Cluster293     COVAR   16076      -4.3807   -0.0086078       3.7884      0.87622
Cluster294     COVAR   16076      0.11037   0.00015733        5.581      0.49211
Cluster295     COVAR   16076      -5.2927     -0.00971       4.2612      0.89289
Cluster296     COVAR   16076      0.94882    0.0015118         4.84      0.42229
Cluster297     COVAR   16076     -0.11596   -0.0010327      0.77345      0.55959
Cluster298     COVAR   16076      -10.185    -0.021313       3.6396      0.99743
Cluster299     COVAR   16076       -6.843     -0.01348       3.9333      0.95904
Cluster3       COVAR   16076    -0.032431  -0.00049289      0.49932      0.52589
Cluster30      COVAR   16076       2.0494    0.0097025       1.5379     0.091342
Cluster300     COVAR   16076       -5.554    -0.012989       3.2108      0.95815
Cluster301     COVAR   16076      -2.9329   -0.0066138       3.3223      0.81132
Cluster302     COVAR   16076      -5.9009    -0.018698       2.3048      0.99477
Cluster303     COVAR   16076      -5.1485    -0.015903       2.4141      0.98352
Cluster304     COVAR   16076      -5.6193    -0.013725       3.0313       0.9681
Cluster305     COVAR   16076      -2.2041   -0.0055692        2.975      0.77061
Cluster306     COVAR   16076       -3.968   -0.0086348       3.3719      0.88035
Cluster307     COVAR   16076      -4.9483    -0.010108        3.587      0.91612
Cluster308     COVAR   16076       1.5276    0.0039184       2.9936      0.30492
Cluster309     COVAR   16076       0.7089     0.001436       3.9005      0.42789
Cluster31      COVAR   16076       2.2727     0.014588       1.1441     0.023503
Cluster310     COVAR   16076      -1.6065    -0.004013       3.1916      0.69263
Cluster311     COVAR   16076      -1.5967   -0.0047428       2.6672      0.72528
Cluster312     COVAR   16076      -2.2708    -0.007336       2.5234       0.8159
Cluster313     COVAR   16076      -2.3145   -0.0082872       2.0523      0.87027
Cluster314     COVAR   16076     -0.28299    -0.001679       1.2305      0.59094
Cluster315     COVAR   16076      -1.7004   -0.0032125       4.0042      0.66446
Cluster316     COVAR   16076       2.6795     0.007242       2.8787      0.17599
Cluster317     COVAR   16076       1.7767    0.0043969       3.2513      0.29238
Cluster318     COVAR   16076     -0.97101   -0.0021228       3.5342      0.60824
Cluster319     COVAR   16076      -1.4091   -0.0030028       3.5936      0.65251
Cluster32      COVAR   16076       1.7048    0.0049023       2.7691      0.26907
Cluster320     COVAR   16076        0.056   0.00013299       3.3044      0.49324
Cluster321     COVAR   16076       0.8206    0.0016326       3.8369      0.41533
Cluster322     COVAR   16076    -0.095894  -0.00026523       2.7399      0.51396
Cluster323     COVAR   16076       3.1968    0.0061114       3.9819      0.21104
Cluster324     COVAR   16076       3.4805    0.0067096       4.0238      0.19353
Cluster325     COVAR   16076    -0.036852  -6.8828e-05       4.1806      0.50352
Cluster326     COVAR   16076      -1.0434   -0.0020101       4.0938      0.60059
Cluster327     COVAR   16076       6.3178     0.010808       4.5048     0.080401
Cluster328     COVAR   16076       7.6036     0.013041       4.4575     0.044036
Cluster329     COVAR   16076       10.502     0.015991       5.0896     0.019544
Cluster33      COVAR   16076       1.7556    0.0044666        3.049      0.28238
Cluster330     COVAR   16076        2.938    0.0054606       4.0465      0.23391
Cluster331     COVAR   16076      -1.6235   -0.0028651        4.269      0.64814
Cluster332     COVAR   16076       -1.337   -0.0021661       4.7922      0.60987
Cluster333     COVAR   16076        2.875    0.0060536       3.7326      0.22059
Cluster334     COVAR   16076      0.78724    0.0025754       2.4563       0.3743
Cluster335     COVAR   16076      -3.9677    -0.011055       2.7547       0.9251
Cluster336     COVAR   16076      -2.9618   -0.0077934       2.9087      0.84571
Cluster337     COVAR   16076        2.068    0.0053743       2.8585       0.2347
Cluster338     COVAR   16076      -4.9375     -0.01295       3.0904      0.94493
Cluster339     COVAR   16076     -0.61578   -0.0010575       4.2682      0.55736
Cluster34      COVAR   16076       2.5897     0.006311       3.1236      0.20354
Cluster340     COVAR   16076      -1.5619   -0.0037692       3.1222      0.69155
Cluster341     COVAR   16076      -2.9488   -0.0064306       3.2802      0.81566
Cluster342     COVAR   16076      -1.3106   -0.0036254       2.8812       0.6754
Cluster343     COVAR   16076      -1.6197    -0.004697       2.7627      0.72115
Cluster344     COVAR   16076       4.5947    0.0095636       4.0504      0.12833
Cluster345     COVAR   16076       -2.071    -0.005825       2.8831      0.76372
Cluster346     COVAR   16076     -0.45073   -0.0013131       2.6612      0.56725
Cluster347     COVAR   16076      -1.2066   -0.0024186        3.994      0.61871
Cluster348     COVAR   16076     -0.84655   -0.0023213       3.1483      0.60599
Cluster349     COVAR   16076      0.28174   0.00057391       4.0787      0.47246
Cluster35      COVAR   16076       1.4051    0.0034328       3.1206      0.32627
Cluster350     COVAR   16076       -2.753   -0.0046419       4.7154      0.72032
Cluster351     COVAR   16076      -2.9192   -0.0051855       4.2616      0.75332
Cluster352     COVAR   16076      -8.1748    -0.013645       4.6116      0.96185
