# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster232     COVAR   16333       36.057     0.048982       6.9351   1.0162e-07
Cluster233     COVAR   16333       46.856     0.062351       7.1751   3.4013e-11
Cluster234     COVAR   16333       45.774     0.056694       7.6591   1.1701e-09
Cluster235     COVAR   16333       6.3334     0.015443       3.7288     0.044719
Cluster236     COVAR   16333       27.989     0.042012       6.2598   3.9216e-06
Cluster237     COVAR   16333       43.932     0.055433       7.3593   1.2199e-09
Cluster238     COVAR   16333       27.103     0.038511       6.6655   2.4037e-05
Cluster239     COVAR   16333       57.346     0.076966       7.1412   5.2773e-16
Cluster24      COVAR   16333      -6.0617     -0.03735       1.5092      0.99997
Cluster240     COVAR   16333       51.335     0.067997       7.0594   1.8732e-13
Cluster241     COVAR   16333        49.31     0.072683       6.5038   1.8198e-14
Cluster242     COVAR   16333       56.932     0.073105       7.3676   5.8886e-15
Cluster243     COVAR   16333       46.606     0.066408       6.8809   6.5635e-12
Cluster244     COVAR   16333       23.955     0.035774       6.2393   6.1972e-05
Cluster245     COVAR   16333       27.936     0.039967       6.5394   9.7533e-06
Cluster246     COVAR   16333       13.347     0.023946       5.2293    0.0053549
Cluster247     COVAR   16333       16.827     0.026162       6.0864    0.0028532
Cluster248     COVAR   16333       32.207     0.047591       6.4484   2.9863e-07
Cluster249     COVAR   16333       44.602     0.058538       7.1862   2.7895e-10
Cluster25      COVAR   16333       -10.82    -0.053048       1.9399            1
Cluster250     COVAR   16333       37.439     0.063265       6.0645   3.4388e-10
Cluster251     COVAR   16333       39.553      0.06177       6.3283    2.113e-10
Cluster252     COVAR   16333       41.171     0.060706       6.6494   3.0653e-10
Cluster253     COVAR   16333       33.129     0.050243       6.3412   8.8675e-08
Cluster254     COVAR   16333       18.103      0.03404       5.2002    0.0002503
Cluster255     COVAR   16333       21.704     0.033807       5.9014   0.00011809
Cluster256     COVAR   16333       31.211     0.046731       6.0953   1.5453e-07
Cluster257     COVAR   16333        36.18     0.048117       7.0233    1.311e-07
Cluster258     COVAR   16333       26.762     0.039674       6.4443   1.6528e-05
Cluster259     COVAR   16333       50.103      0.06594        7.311   3.7727e-12
Cluster26      COVAR   16333      -9.4826    -0.047274       1.8874            1
Cluster260     COVAR   16333        43.73     0.061025       6.8511   8.9783e-11
Cluster261     COVAR   16333       44.755     0.062967       6.8085   2.5528e-11
Cluster262     COVAR   16333        53.71     0.071486       7.2079   4.9016e-14
Cluster263     COVAR   16333       49.748     0.071035       6.7441   8.6067e-14
Cluster264     COVAR   16333       42.898     0.062822       6.4555   1.5747e-11
Cluster265     COVAR   16333       31.951     0.049318       6.2212   1.4243e-07
Cluster266     COVAR   16333       34.403     0.050252       6.3479   3.0392e-08
Cluster267     COVAR   16333       33.559     0.048329       6.6935   2.7042e-07
Cluster268     COVAR   16333       32.106     0.047578        6.459   3.3787e-07
Cluster269     COVAR   16333        44.42     0.058644       7.2318   4.1835e-10
Cluster27      COVAR   16333      -10.431    -0.047695       2.0544            1
Cluster270     COVAR   16333       41.355     0.062449       6.3738      4.5e-11
