# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster202     COVAR   16076     -0.86961   -0.0014451       4.6897      0.57355
Cluster203     COVAR   16076      -5.5315   -0.0091923       4.6937      0.88069
Cluster204     COVAR   16076      -4.8493   -0.0094828       3.9712      0.88897
Cluster205     COVAR   16076      -6.2418    -0.010693       4.6723       0.9092
Cluster206     COVAR   16076       4.5878    0.0092571        3.818      0.11477
Cluster207     COVAR   16076       2.7947     0.004992       4.4039      0.26285
Cluster208     COVAR   16076       3.0983    0.0054282        4.483      0.24475
Cluster209     COVAR   16076       2.6674    0.0064967       3.1427      0.19801
Cluster21      COVAR   16076     -0.16887   -0.0010205       1.2288      0.55465
Cluster210     COVAR   16076     -0.64646   -0.0013256       3.7709      0.56806
Cluster211     COVAR   16076      0.62501    0.0014984       3.1546      0.42147
Cluster212     COVAR   16076        6.795     0.012544       4.1941     0.052614
Cluster213     COVAR   16076     -0.14551   -0.0002449         4.67      0.51243
Cluster214     COVAR   16076       2.2932    0.0036735       4.9085      0.32019
Cluster215     COVAR   16076      0.89183    0.0019307       3.5633      0.40119
Cluster216     COVAR   16076       5.1181    0.0076171       5.3174       0.1679
Cluster217     COVAR   16076     -0.16175  -0.00019466       6.6553      0.50969
Cluster218     COVAR   16076       2.3342    0.0036572       4.9076      0.31717
Cluster219     COVAR   16076       2.2738    0.0030527       5.8301      0.34827
Cluster22      COVAR   16076      0.42317    0.0023278       1.3612      0.37795
Cluster220     COVAR   16076     -0.56265  -0.00086334       5.1233      0.54372
Cluster221     COVAR   16076       7.6977     0.014258       4.2119     0.033815
Cluster222     COVAR   16076       4.8501     0.008851        4.242      0.12646
Cluster223     COVAR   16076       3.7736    0.0067384       4.1739      0.18298
Cluster224     COVAR   16076       3.3562    0.0047728       5.4743      0.26992
Cluster225     COVAR   16076      -1.3749   -0.0021608       4.9193      0.61007
Cluster226     COVAR   16076      -2.8453   -0.0039446       5.6641      0.69228
Cluster227     COVAR   16076       1.2439    0.0018318       5.2826      0.40692
Cluster228     COVAR   16076     -0.56511  -0.00072176       6.1855       0.5364
Cluster229     COVAR   16076      0.70355   0.00097144       5.5715      0.44976
Cluster23      COVAR   16076      0.22815    0.0011949       1.4533      0.43763
Cluster230     COVAR   16076     -0.74571  -0.00099438       5.9223       0.5501
Cluster231     COVAR   16076      -2.3433   -0.0031399       5.8617      0.65533
Cluster232     COVAR   16076      -8.3828    -0.011467       5.7432      0.92779
Cluster233     COVAR   16076      -9.1399     -0.01227       6.0465      0.93467
Cluster234     COVAR   16076      -1.0619    -0.001324       6.3644      0.56626
Cluster235     COVAR   16076       3.5901     0.008847       2.9509      0.11189
Cluster236     COVAR   16076       1.8146    0.0027243       5.2849      0.36567
Cluster237     COVAR   16076       11.075      0.01404       6.2904     0.039164
Cluster238     COVAR   16076      0.63483   0.00090472        5.514      0.45417
Cluster239     COVAR   16076      -2.9124   -0.0038929       5.9098      0.68892
Cluster24      COVAR   16076      0.99951    0.0061721       1.2339      0.20896
Cluster240     COVAR   16076       4.7806    0.0063626          5.9       0.2089
Cluster241     COVAR   16076       4.8587    0.0072071       5.3304      0.18102
Cluster242     COVAR   16076        11.17     0.014398       6.1609     0.034918
Cluster243     COVAR   16076       9.7509     0.013929       5.6129     0.041185
Cluster244     COVAR   16076      -2.2562    -0.003377       5.1657      0.66886
Cluster245     COVAR   16076       7.6432     0.011047        5.481     0.081599
Cluster246     COVAR   16076      -2.6389   -0.0047114       4.5199      0.72033
Cluster247     COVAR   16076      0.18412   0.00028782       4.9238      0.48509
Cluster248     COVAR   16076      -1.0066   -0.0014948        5.356      0.57454
Cluster249     COVAR   16076       3.2532    0.0043006       6.0406       0.2951
Cluster25      COVAR   16076       1.6639    0.0081727       1.5521      0.14186
Cluster250     COVAR   16076      -2.9687   -0.0050521       4.8146      0.73124
Cluster251     COVAR   16076      -4.4575   -0.0070229       5.1108      0.80844
Cluster252     COVAR   16076      -3.8931   -0.0057664       5.4738      0.76152
Cluster253     COVAR   16076      -1.5748   -0.0023868       5.2139      0.61869
Cluster254     COVAR   16076      -2.5797   -0.0048983       4.0438      0.73824
Cluster255     COVAR   16076      -1.7327   -0.0027195       4.9567      0.63666
Cluster256     COVAR   16076       0.4399   0.00066679       5.1816      0.46617
Cluster257     COVAR   16076      0.51391   0.00069044       5.9355       0.4655
Cluster258     COVAR   16076      -4.7416   -0.0070576       5.2089      0.81866
Cluster259     COVAR   16076       -1.111   -0.0014669       6.0944      0.57232
Cluster26      COVAR   16076       1.8806    0.0097175        1.466     0.099782
Cluster260     COVAR   16076      0.47327   0.00066441       5.6137      0.46641
Cluster261     COVAR   16076      -2.4068   -0.0034984       5.4493      0.67063
Cluster262     COVAR   16076       4.8487    0.0064833       5.9917       0.2092
Cluster263     COVAR   16076       2.3541    0.0033806        5.513      0.33469
Cluster264     COVAR   16076       7.5965     0.011177       5.3737     0.078745
Cluster265     COVAR   16076       4.9889    0.0077094        5.067      0.16242
