VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster207,COVAR,16231,5.3367,0.0094875,6.6268,0.21032,False,297,207.0,MSN_207,Medium spiny neuron,NEUR,"Basal forebrain: 92.9%, Thalamus: 4.1%, Amygdala: 1.9%"
Cluster114,COVAR,16231,4.6538,0.0098144,5.8063,0.21143,False,298,114.0,L5ET_114,Miscellaneous,NEUR,"Cerebral cortex: 98.4%, Hippocampus: 1.2%, Basal forebrain: 0.3%"
Cluster57,COVAR,16231,3.0919,0.0095443,3.8888,0.21329,False,299,57.0,Astro_57,Astrocyte,ASTRO,"Hippocampus: 66.8%, Basal forebrain: 25.3%, Cerebral cortex: 4.0%"
Cluster117,COVAR,16231,5.0842,0.0091479,6.516,0.21762,False,300,117.0,L5ET_117,Miscellaneous,NEUR,"Cerebral cortex: 82.3%, Basal forebrain: 7.9%, Hypothalamus: 7.7%"
Cluster200,COVAR,16231,4.0517,0.0082771,5.5415,0.23235,False,301,200.0,DG_200,Hippocampal dentate gyrus,NEUR,"Hippocampus: 99.4%, Thalamus: 0.5%, Midbrain: 0.1%"
Cluster208,COVAR,16231,4.8568,0.008472,6.7279,0.23519,False,302,208.0,MSN_208,Medium spiny neuron,NEUR,"Basal forebrain: 89.6%, Amygdala: 5.6%, Cerebral cortex: 3.5%"
Cluster212,COVAR,16231,4.6481,0.0085167,6.5254,0.23815,False,303,212.0,MSN_212,Medium spiny neuron,NEUR,"Basal forebrain: 90.4%, Cerebral cortex: 3.6%, Amygdala: 3.6%"
Cluster160,COVAR,16231,4.0309,0.0083354,5.6764,0.23882,False,304,160.0,Amex_160,Amygdala excitatory,NEUR,"Amygdala: 90.3%, Cerebral cortex: 8.9%, Hippocampus: 0.8%"
Cluster105,COVAR,16231,4.6788,0.0083397,6.6112,0.23957,False,305,105.0,DLCT6b_105,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 80.5%, Basal forebrain: 8.4%, Hippocampus: 7.2%"
Cluster330,COVAR,16231,4.5937,0.0084664,6.7069,0.2467,False,306,330.0,Mmb_330,Mammillary body,NEUR,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%"
