trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster385,385,Splat_385,Splatter,NEUR,VGLUT2,"Hypothalamus: 93.4%, Midbrain: 4.5%, Amygdala: 0.8%","Human HTHma-HTHtub: 46.9%, Human HTHtub: 19.6%, Human HTHma: 9.9%","LMX1A, LMX1B, LINC01667, CARTPT, IRX3, CRNDE, AR, TMEM255A, GABRE, IRX6",16361,27.556,0.037395,6.4199,8.8999e-06,5.050614873095781,True,23,False,,385,1800.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster252,252,MGE_252,MGE interneuron,NEUR,GABA VGLUT3,"Cerebral cortex: 85.8%, Hippocampus: 8.0%, Basal forebrain: 3.6%","Human M1C: 11.7%, Human MTG: 6.1%, Human S1C: 4.3%","EDNRA, AL450345.2, NMU, SST, PAWR, TAC3, DCN, PNOC, CYP26A1, ITGA1",16361,26.447,0.039051,6.1722,9.2057e-06,5.0359431822193095,True,24,False,,252,16079.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster428,428,Splat_428,Splatter,NEUR,GABA,"Basal forebrain: 59.7%, Amygdala: 16.1%, Hypothalamus: 13.8%","Human SEP: 55.1%, Human BNST: 12.4%, Human ANC: 5.7%","FREM2, AC092958.2, SCGN, AC092957.1, ZIC2, LHX8, PRDM12, PRDM16, ZIC5, TTR",16361,29.396,0.03763,6.938,1.1401e-05,4.943057054327123,True,25,False,,428,3182.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster272,272,LLC_272,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 67.5%, Amygdala: 16.1%, Basal forebrain: 7.8%","Human MEC: 6.2%, Human FI: 5.9%, Human LEC: 4.8%","LINC01344, SFRP1, ANO1, PDGFD, EYA4, FREM2, AP002989.1, CHRDL1, HAPLN1, ADGRG6",16361,21.891,0.039558,5.1695,1.1522e-05,4.938472129109492,True,26,True,8.0,272,1960.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster275,275,LLC_275,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 66.0%, Amygdala: 16.5%, Basal forebrain: 9.9%","Human Cla: 7.5%, Human MEC: 6.9%, Human MTG: 5.9%","LINC01344, SFRP1, HAPLN1, PDGFD, EYA4, ADGRG6, ANO1, AC137770.1, AP002989.1, CRABP1",16361,25.399,0.038146,6.0701,1.4397e-05,4.841727995347916,True,27,False,,275,2174.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster286,286,CGE_286,CGE interneuron,NEUR,GABA,"Cerebral cortex: 70.6%, Hippocampus: 13.8%, Amygdala: 10.2%","Human MEC: 5.8%, Human M1C: 5.5%, Human MTG: 4.3%","NDNF, CXCL14, AC005064.1, RELN, NMBR, LINC00298, MYH11, AC092819.3, NR2E1, SLC25A48",16361,26.902,0.038349,6.4432,1.4976e-05,4.82460416860597,True,28,False,,286,15597.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster251,251,MGE_251,MGE interneuron,NEUR,GABA,"Cerebral cortex: 94.0%, Hippocampus: 2.5%, Basal forebrain: 2.4%","Human MTG: 6.6%, Human A29-A30: 5.6%, Human M1C: 4.6%","EDNRA, NMU, MAFB, CYP26A1, PNOC, PDCL2, KCNJ5, SST, TRBC2, ADGRG6",16361,23.788,0.037247,5.7534,1.7889e-05,4.747413935934598,True,29,False,,251,16688.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster123,123,ULIT_123,Upper-layer intratelencephalic,NEUR,VGLUT1,"Cerebral cortex: 99.2%, Hippocampus: 0.4%, Basal forebrain: 0.3%","Human A5-A7: 8.0%, Human V2: 7.9%, Human A40: 6.9%","LINC02263, AP001994.2, LINC02306, LINC00507, LINC00508, AC021613.1, ART3, AC110614.1, LINC01484, COL5A1",16361,27.515,0.036426,6.739,2.2353e-05,4.650664181882752,True,30,False,,123,55595.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster207,207,MSN_207,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 92.9%, Thalamus: 4.1%, Amygdala: 1.9%","Human Pu: 54.1%, Human CaB: 28.2%, Human GPe: 5.8%","GPR6, AL139379.1, DRD2, AC073325.1, ADORA2A, LINC02137, PENK, GPR88, AL450332.1, LPL",16361,19.813,0.035263,4.876,2.4308e-05,4.614250772324721,True,31,True,9.0,207,20569.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster136,136,DLIT_136,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Amygdala: 54.6%, Cerebral cortex: 36.2%, Hypothalamus: 8.6%","Human CoA: 54.6%, Human AON: 28.3%, Human HTHso: 8.6%","AC099517.1, LINC02196, AC079380.1, LINC02465, AL138927.1, AC073578.2, AL450352.1, ARHGAP15, TNNT2, LINC02378",16361,19.081,0.03439,4.7491,2.9537e-05,4.529633616999993,True,32,False,,136,152.0
