trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster352,352,Splat_352,Splatter,,GABA,"Midbrain: 97.3%, Pons: 0.9%, Medulla: 0.8%","Human SC: 81.8%, Human IC: 10.4%, Human PAG-DR: 2.7%","LHX1, EBF1, EBF3, GATA3, TRAC, GATA3-AS1, PVALB, HAS2-AS1, HAS2, LHX1-DT",16365,10.222,0.016988,4.3417,0.009281,2.0324052273281104,False,23,,,352,862.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster261,261,MGE_261,MGE interneuron,NEUR,GABA,"Cerebral cortex: 95.5%, Hippocampus: 1.4%, Basal forebrain: 1.4%","Human M1C: 13.2%, Human MTG: 6.5%, Human A29-A30: 4.8%","TCIM, RNF144B, LRRC38, ADAMTS17, PRDM1, KCNS3, MYO5B, RGS5, OSTN, LHX6",16365,12.302,0.017812,5.2303,0.0093418,2.0295694348245323,False,24,,,261,21457.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster243,243,MGE_243,MGE interneuron,NEUR,GABA,"Cerebral cortex: 96.3%, Hippocampus: 1.4%, Basal forebrain: 1.1%","Human MTG: 8.2%, Human A40: 5.9%, Human M1C: 4.5%","LINC01687, AC011586.2, AC113347.4, MSR1, HPGD, AC011586.1, CMTM8, SST, DCN, AOX1",16365,12.385,0.017641,5.2758,0.0094591,2.0241501832206,False,25,,,243,16126.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster386,386,Splat_386,Splatter,NEUR,VGLUT2,"Medulla: 98.2%, Pons: 1.2%, Midbrain: 0.6%","Human MoRF-MoEN: 55.1%, Human MoSR: 38.9%, Human MoAN: 4.2%","TACR3, LINC01876, AC074099.1, HOXB3, HSPD1P8, POU4F1, PGR-AS1, PGR, LINC02742, HOXA3",16365,8.9576,0.016509,3.9121,0.011028,1.957503242566264,False,26,,,386,167.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster353,353,Splat_353,Splatter,NEUR,GABA,"Thalamus: 97.2%, Midbrain: 2.2%, Hypothalamus: 0.5%","Human LG: 93.9%, Human VLN: 1.4%, Human CM-Pf: 1.1%","GATA3, FABP4, HPGD, LHX5-AS1, NPY, GATA3-AS1, LINC00237, AC096751.2, AL138899.1, NDNF",16365,9.0854,0.015764,4.0024,0.011611,1.9351303749401936,False,27,,,353,852.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster260,260,MGE_260,MGE interneuron,NEUR,GABA,"Cerebral cortex: 86.4%, Amygdala: 4.6%, Basal forebrain: 4.2%","Human MEC: 9.0%, Human FI: 6.2%, Human ACC: 5.8%","OSTN, IQGAP2, TCIM, AC022905.1, C1QL1, ACADL, WNT16, LHX6, CRHBP, MYO5B",16365,12.151,0.017028,5.362,0.01173,1.9307019878844707,False,28,,,260,6212.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster309,309,URL_309,Upper rhombic lip,NEUR,VGLUT1 VGLUT2,"Pons: 89.0%, Cerebellum: 8.6%, Medulla: 1.6%","Human PnEN: 37.8%, Human PnAN: 28.2%, Human PB: 12.3%","AC017037.5, AC108517.2, AC084740.1, LMX1A, ABCA13, AC092957.1, TMEM255B, CBLN1, CPLX4, AC080079.2",16365,8.1551,0.016501,3.6814,0.013382,1.8734789744565878,False,29,,,309,373.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster171,171,Amex_171,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Hippocampus: 93.7%, Amygdala: 5.7%, Cerebral cortex: 0.3%","Human CA1: 86.7%, Human Sub: 6.9%, Human CMN: 5.7%","SERPINB13, TGFBI, AOX1, AC116345.1, ABCA12, LINC01886, AC082650.2, AOX3P, AC068305.2, CRHR2",16365,7.2589,0.015472,3.2813,0.013485,1.87014904921109,False,30,,,171,332.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster85,85,DLNP_85,Deep-layer near-projecting,NEUR,VGLUT1 VGLUT2 VGLUT3,"Cerebral cortex: 47.1%, Basal forebrain: 37.0%, Hypothalamus: 10.9%","Human ACC: 32.3%, Human SEP: 25.9%, Human SI: 9.7%","AC005909.2, FER1L6-AS2, PRELP, AC093912.1, NPSR1-AS1, VWA2, LPIN3, ABCC9, CDCP1, MROH2A",16365,9.2436,0.015416,4.2433,0.014697,1.832771305824007,False,31,,,85,514.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster422,422,Splat_422,Splatter,NEUR,GABA,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%","Human BNST: 22.3%, Human ANC: 20.1%, Human HTHpo: 19.8%","CALCR, LHX8, TMEM255A, DGKK, AL110292.1, ARHGAP36, GABRE, ONECUT3, STK26, LINC00540",16365,12.176,0.015587,5.6103,0.015004,1.8237929445213148,False,32,,,422,2976.0
