# TOTAL_GENES = 16231
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR     59   16231       36.303     0.047919       9.1145    3.422e-05
Cluster360     COVAR     59   16231       27.604     0.045605       7.3973   9.5566e-05
Cluster123     COVAR     60   16231       35.617     0.047013       9.1343   4.8498e-05
Cluster370     COVAR     60   16231       29.821     0.041457       8.4337   0.00020392
Cluster123     COVAR     61   16231       38.386     0.050668        9.092   1.2195e-05
Cluster377     COVAR     61   16231       25.774      0.04211       6.9365   0.00010178
Cluster123     COVAR     62   16231        37.18     0.049076       9.0965   2.1966e-05
Cluster386     COVAR     62   16231       26.423      0.04841       6.0726   6.8225e-06
Cluster123     COVAR     63   16231         36.3     0.047914       9.1172   3.4451e-05
Cluster388     COVAR     63   16231       21.314     0.041723       5.9752   0.00018116
Cluster123     COVAR     64   16231       35.064     0.046283       9.1196   6.0617e-05
Cluster389     COVAR     64   16231           39     0.057403       8.0887   7.2086e-07
Cluster123     COVAR     65   16231       37.934     0.050071       9.0904   1.5141e-05
Cluster396     COVAR     65   16231       31.061       0.0539       6.7701     2.26e-06
Cluster123     COVAR     66   16231       34.115     0.045031       9.2135   0.00010709
Cluster403     COVAR     66   16231       19.888     0.036195       6.4093   0.00096009
Cluster123     COVAR     67   16231       29.121     0.038439       9.8213    0.0015158
Cluster404     COVAR     67   16231       27.308     0.031532       10.548    0.0048181
Cluster123     COVAR     68   16231       27.763     0.036645       9.8189    0.0023499
Cluster405     COVAR     68   16231       31.545     0.037901       10.661    0.0015472
Cluster123     COVAR     69   16231       40.006     0.052806       9.0946   5.4878e-06
Cluster410     COVAR     69   16231       20.598     0.047504       4.7847   8.4165e-06
Cluster123     COVAR     70   16231       39.097     0.051607       9.0918    8.595e-06
Cluster415     COVAR     70   16231       25.671     0.042545       6.7342   6.9245e-05
Cluster123     COVAR     71   16231       39.023     0.051509       9.0907   8.8959e-06
Cluster416     COVAR     71   16231       27.201      0.04924       6.6615   2.2346e-05
Cluster123     COVAR     72   16231       37.688     0.049747       9.0962   1.7233e-05
Cluster417     COVAR     72   16231        27.02     0.042444       7.4574   0.00014605
Cluster123     COVAR     73   16231       32.483     0.042876       9.2785   0.00023267
Cluster419     COVAR     73   16231       31.247     0.041046       9.2582   0.00037017
Cluster123     COVAR     74   16231       36.155     0.047724       9.1064    3.609e-05
Cluster422     COVAR     74   16231        42.25     0.053996       9.2731   2.6294e-06
Cluster123     COVAR     75   16231       32.391     0.042754       9.1721   0.00020742
Cluster424     COVAR     75   16231       51.493     0.059739       10.133   1.8984e-07
Cluster123     COVAR     76   16231       36.243     0.047839       9.1216   3.5646e-05
Cluster425     COVAR     76   16231       32.367     0.039739       9.5304   0.00034271
Cluster123     COVAR     77   16231       29.423     0.038837       9.3164   0.00079575
Cluster426     COVAR     77   16231       49.724     0.054878       10.938   2.7618e-06
Cluster123     COVAR     78   16231       33.988     0.044863       9.2022   0.00011109
Cluster427     COVAR     78   16231       29.533      0.03855       8.8383   0.00041786
Cluster123     COVAR     79   16231       35.508     0.046869       9.1125   4.9035e-05
Cluster428     COVAR     79   16231       44.189     0.056598       9.1744   7.3881e-07
Cluster123     COVAR     80   16231       37.432     0.049409        9.097   1.9506e-05
Cluster439     COVAR     80   16231       25.029     0.045528       6.4117   4.7627e-05
Cluster132     COVAR     81   16231       38.129     0.060693       9.8555   5.4961e-05
Cluster133     COVAR     81   16231        12.65     0.016259       12.595       0.1576
Cluster132     COVAR     82   16231       38.387     0.061102       7.8829   5.6611e-07
Cluster136     COVAR     82   16231        14.44     0.026013       6.7619     0.016367
Cluster132     COVAR     83   16231       39.213     0.062417       7.8777   3.2615e-07
Cluster137     COVAR     83   16231        15.26     0.024398       8.1648      0.03082
Cluster132     COVAR     84   16231       38.144     0.060717       8.0114   9.7285e-07
Cluster139     COVAR     84   16231       17.306     0.026377       8.6488      0.02271
Cluster132     COVAR     85   16231       34.143     0.054347       8.5999   3.6114e-05
Cluster140     COVAR     85   16231        23.99     0.033033        10.28    0.0098112
